ID,DLC,Label
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
153,1,0
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
38,2,0
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
1459,5,2
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
356,8,2
38,2,2
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
38,2,3
0,8,1
38,2,1
38,2,1
0,8,1
0,8,1
0,8,1
38,2,4
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
38,2,0
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
38,2,0
0,8,1
38,2,3
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
38,2,2
0,8,1
630,3,2
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
38,2,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
1996,8,2
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
38,2,3
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
38,2,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
38,2,3
0,8,1
0,8,1
38,2,1
153,1,2
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
38,2,0
38,2,0
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
38,2,3
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
38,2,0
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
38,2,3
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
291,2,2
0,8,1
38,2,4
0,8,1
0,8,1
0,8,1
38,2,2
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
38,2,2
0,8,1
0,8,1
0,8,1
0,8,1
38,2,3
0,8,1
38,2,1
0,8,1
0,8,1
38,2,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
38,2,3
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
38,2,0
0,8,1
0,8,1
0,8,1
0,8,1
110,0,2
0,8,1
0,8,1
0,8,1
38,2,0
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
38,2,3
0,8,1
0,8,1
38,2,3
0,8,1
0,8,1
38,2,3
38,2,2
0,8,1
0,8,1
1510,7,2
0,8,1
0,8,1
0,8,1
576,2,2
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
0,8,1
38,2,4
0,8,1
0,8,1
0,8,1
38,2,3
0,8,1
